Sentence #,Standard_Bangla
233,কেনো জানি মনে হয় বেলা শেষে তুমি ঘরে ফিরবে
234,আমি এক সন্ধ্যায় অফিস থেকে বাসায় ফিরে দেখবো তুমি আছো সত্যিই তুমি আছো
235,তুমি তোমার কন্যাকে নিয়ে ব্যস্ত সময় পার করছ
236,আমি কোনদিন চিন্তাও করিনি আমার মেয়ে তার মার আদর ভালোবাসা ছাড়া বড় হবে বাসার কাজের মানুষের কাছে
237,দম বন্ধ হয়ে আসে চিৎকার করে কাঁদতে ইচ্ছে করে
238,তুমি জানো সত্যিই খুব কঠিন বাবা হয়ে মায়ের দায়িত্ব পালন করা
239,সন্তানকে একমাত্র তার মায়ের কোলেই মানায়
240,তোমার কন্যা আমার কোলে এসে শুধু তোমাকে খোঁজে মনে হয়
241,তুমি চলে যাওয়ার পর তোমার মেয়ে কেমন যেন শান্ত হয়ে গেছে
242,এটা হয়তো কেউ বুঝতে পারছে না আমি ছাড়া
243,আমি যে বাবা আমি আমার কন্যার মুখের দিকে তাকিয়ে অনেক কিছু বুঝতে পারি
244,এই রকম মানুষেরা কখনো ঠিক হয় না
245,তাদের দুজনের বিয়ে হওয়ার কথা ছিল
246,কিন্তু ছেলে হঠাৎ করে তরুণীকে না জানিয়ে দেশের বাইরে চলে যায়
247,এর মাঝে মেয়েটি তার পরিবারের পছন্দে বিয়ে করে
248,সে মেয়েটির সাথে যোগাযোগ করে
249,মেয়েটি কাউকে বিয়ে করতে রাজি হয় না
250,ওই ছেলে কোন কিছুই শুনতে চায় না তার সাথে দেখা করতে চায়
251,মেয়ে মামলা চায় না কারণ সে বিবাহিত মামলার বিষয়টা জানাজানি হলে সংসার টিকবে না
252,আমার স্বামী বিভিন্ন মেয়ের সাথে সারা রাত জেগে কথা বলে
253,এখন কথা হলো আমি কাবিনের টাকা দিয়ে দিবো প্রতি মাসে মাসে
254,আমি সাত মাস প্রেম করে একজনকে বিয়ে করেছি
255,এখন বিয়ের পর জানতে পারি আমার স্বামী আগে দুইটি বিয়ে করেছিল
256,আমি মনসিক ভাবে খুব সমস্যার মধ্যে আছি
257,আমার একটাই কথা ছেলে মানুষের কাছে কিসের প্রয়োজন থাকতে পারে
258,ক্লাসের সব মেয়েদের সাথেই মিশতাম
259,আমি ধরে নিলাম আমার অনেক দোষ অনেক ভুল
260,কিন্তু আমাদের তিন বছরের বাচ্চা তার কোথায় দোষ
261,আমরা বলি একটু সময় নেওয়ার জন্য আর উনার স্ত্রীকে নিয়ে আসার জন্য
262,তোমাকে যেদিন বলেছিলাম বিয়েটা করে ফেলো
263,সেদিন কথাটা বলেছিলাম শুধু তোমার ভালোর জন্য
264,কিন্তু তুমি এখন এতোই ভালো আছো যে আমি সেটা মানতে পারছি না
265,তুমি আর আমার নেই আমি এটা মানতে পারছি না
266,পছন্দ করেই পরিবারের মাধ্যমে বিয়ে করে এনেছে
267,আমার ভালোবাসার মানুষের সাথে আমার বিয়ে হয়েছে
268,তাকে ছাড়া আমি হয়তো বাচঁতে পারবো না
269,এখন আর মানুষের মধ্যে মায়া বিষয়টা খুব একটা নেই
270,আমি আমার ছোট বাচ্চাকে নিয়ে বাবার বাড়িতে যাই
271,আপনি নিজের পরিবার নিয়ে বসুন
272,পরিবারে ছোট খাটো ঝামেলা থাকে
273,আমাকে একটু সাহায্য করবেন
274,দয়া করে নাম পরিচয় গোপন রাখবেন
275,আমি একটি কঠিন সমস্যা নিয়ে হাজির হয়েছি
276,একসময় ছেলের মেয়েটাকে ভালো লাগবে
277,তাদের চার বছরের একটি মেয়ে বাচ্চা আছে
278,গত এক মাস আগে স্ত্রীর সাথে ঝগড়া করে স্বামী দেশে চলে আসে
279,ছেলে মেয়ে একজন আরেকজন কে প্রচন্ড ভালোবাসে
280,সে বিয়ে করে সুখী হতে চায়
281,ছেলে ইউরোপে পড়াশোনা করে
282,কিন্তু মেয়ের পরিবার রাজিনা
283,মেয়েকে অন্য ছেলের সাথে বিয়ে দেওয়ার আয়োজন করে
284,বাধ্য হয়ে ছেলে মেয়ে নিজেদের ইচ্ছায় বিয়ে করে নেয়
285,আজকে দেয়ালে পিঠ থেকে গেছে
286,আজকে প্রায় আঁট দিন পানি নেই
287,অথচ আসে পাশের সব বাড়ি তেই পানি দিয়ে দিচ্ছে শুধু আমাদের বাড়িতেই পানি দিচ্ছে না
288,যাদের সাথে ভালো সম্পর্ক রয়েছে শুধু তাদের পানি দিবে আর কাউকে দিবে না
289,জানিনা পানি পাবো নাকি পাবো না
290,পাশ করা ডাক্তাররা এখন ভালো অবস্থায় নেই
291,কেন এত টাকা ধার করে ডাক্তারি পড়তে হবে
292,যেহেতু ভর্তি হয়ে গেছেন পড়াশোনা চালিয়ে যান
293,স্বামীর অভিযোগ স্ত্রী তার সংসারের দায়িত্ব পালন করছে না
294,দুজনেই দুজনকে সন্দেহ করে
295,স্ত্রী ধারণা স্বামী পরকীয়ায় আছে
296,এই বিষয়টা নিয়ে আর কথা বলতে চাচ্ছি না
297,আজকাল ছোটরাও পাত্তা দিচ্ছে না
298,কেউ আর ভয় পাচ্ছে না
299,আমার এসব আর একটুও ভালো লাগছে না
300,যারা ভেবেছিলেন বড় হয়ে গরীবদের সেবা করবেন কিন্তু বড় হয়ে দেখেন নিজেই গরীব
301,মহিলার বয়স হবে আশী এর উপরে
302,একটাই পৃথিবী কিন্তু একেক এলাকার মানুষের চিন্তা একেক রকম
303,নতুনরা অনেক কিছু শিখতে পারবে আশা করি
304,হোকনা ভালো কিছুর শুরুটা এভাবেই
305,তুমি আমার সাথে আর কথা বলবা না
306,আমরা অনেক বড় হয়ে গেছি মনে হচ্ছে
307,রাজকুমারির মায়া পৃথিবী যায়নি আজও ভুলে
308,জীবন থেকে রঙ হারায় গেছে
309,একটা রঙিন ছবি তুলতে হবে আমাদের সবার
310,আর কত ছুটি কাটাবো
311,পুরোটা দেখার অপেক্ষায় বসে আছি
312,আপনি বেঁচে আছেন
313,আশেপাশে কেউ থাকলে কল দিয়েন
314,দেখা করা যাবে
315,কিছু পাইতে হলে কিছু ছাড়তে হবে
316,বাংলাদেশে আমাকে সবাই আমার ডাক নামে চিনে
317,দুই ঘন্টা ধরে বিদ্যুৎ যায়নি
318,বিদ্যুৎ অফিসের লোকটা কি মারা গেলো নাকি
319,সেইবার আমি প্রায় চার মাস পরে বাসায় গিয়েছি
320,বাবার মুখের দিকে তাকিয়ে কেমন জানি একটা শূন্যতা অনুভব করলাম
321,কবে যে আমার স্বপ্নটা পূরণ হবে
322,আপনি কি আপনার হাত ধুতে জানেন
323,আপনি কি খামারের পশু পছন্দ করেন
324,আমি আমার পরিবারের কথা বলতে চাই
325,আমার পরিবারে আমি মা বাবা এবং একটি ছোট্ট বোন
326,আমাদের সবাই একসময়ে একসাথে আছি
327,আমরা খুব খুশি
328,আমাদের পরিবারে আনন্দের বাইরে কোন ঝগড়া নেই
329,আমার বন্ধুরা আমার জীবনের অনেক গুরুত্বপূর্ণ অংশ
330,আমি সবসময় আমার গ্রামের মানুষদের পাশে থাকতে চাই
331,খুব সুন্দর
332,আপনার লেখা অসাধারণ
333,আপনার ছবি দেখে খুব ভালো লেগছে
334,অসাধারণ করে লিখেছেন
335,আমি ভালো লাগলো আপনার কথা পড়ে
336,আপনার এই পোস্টটি খুব উপকারী
337,আপনার সুন্দর সুন্দর ছবিগুলো দেখে আনন্দ পেয়েছি
338,আপনি খুব সুন্দরভাবে সমস্যাটি সমাধান করেছেন
339,আপনার ব্লগটি পড়ে অনেক কিছু শিখতে পেরেছি
340,আমি আপনার কাজকে ভালোবাসি
341,আপনার লেখার ধরণ খুব সুন্দর
342,আপনার ছবিটি দেখে মন ভরে গেলো
343,খুব সুন্দর কথা বলেছেন
344,আপনার মজার মজার কথা শুনলে সারা দিন মন ভালো থাকে
345,একদিন সুন্দর একটি বাগানে একটি মেয়ে হাঁটছিল
346,সে আকাশে উড়ন্ত পাখির গান শোনতেই মন খুশি হয়ে উঠত
347,সে ফুলগুলোর রঙিন মেলা দেখে হৃদয় ভরে যায়
348,তার পাশে থাকা পুতুলগুলো সেই মেয়ের সাথে খেলতে আসে
349,সে আরও একটি বন্ধু বানাতে চায় যার নাম ছিল রাহাত
350,তোমার বন্ধুরা সত্যিই ভালো হৃদয়ের মানুষ
351,তোমার বন্ধুরা সবাই খুব মেধাবী
352,তোমার বন্ধুদের কাছে থাকতে খুব ভালো লাগে
353,বিয়ের পর মোটা হবে এমন স্বপ্ন নিয়ে বেঁচে আছে হাজারো পাতলা মেয়ে
354,মেয়েরা যে হারে ভদ্র ছেলে খুঁজছে ভয় লাগছে কোনো দিন আমি কিডন্যাপ হয়ে না যাই
355,যখন তোমার একা লাগবে তুমি চারদিকে কিছুই দেখতে পাবে না
356,আজ সিঙ্গেল বলে কারো জন্য হাত কাটতে পারি না
357,সিনেমায় বিয়ের পর গল্প শেষ হয়ে যায় আর বাস্তব জীবনে বিয়ের পরই সিনেমা শুরু হয়
358,আজ গরিব বলে পৃথিবীতে থাকি বড়লোক হলে মঙ্গল গ্রহে থাকতাম
359,একমাত্র মেয়েরাই পারে অবলা ছেলেদের সহজ সরল মনটা কে ফুটবল ভেবে খেলা করতে
360,মাঝে মাঝে মন চায় থেমে থাকা গাড়ির নিচে পরে মরে যাই
361,বউকে ভালোবাসতে শিখুন কিন্তু কার বউ সেটা দেখার বিষয় না
362,একবার ধরলে হাত ছাড়বেনা কখনো রোগা পাতলা মেয়ে গুলোকে দেখে মনে হয় ভিটামিনের বোতল কিনে দিই
363,স্বপ্ন দেখলাম ক্রাশের সাথে ঘুরতে গেছি তার পর যা হলো সব ইতিহাস
364,যখন ভাবি তুমি ছাড়া আমার জীবনটা অন্ধকার ঠিক তখনই কারেন্ট চলে আসে
365,বউ হারালে বউ পাওয়া যায় কিন্তু বন্ধুকে টাকা দিলে সেটা আর ফেরত পাওয়া যায় না
366,চুল পরার সমস্যা নিয়ে ডাক্তারের কাছে গেছিলাম গিয়ে দেখি ডাক্তার নিজেই টাক
367,ভালো মানুষ নাকি বেশি দিন বাঁচে না এটা শোনার পর খুব টেনশনে আছি
368,তোকে ভুলে যাওয়ার জন্য আমি ভালোবাসিনি
369,নিজেকে কখনো বেকার ভাববেন না মনে রাখবেন আপনার শরীরের রক্ত দিয়ে হাজারো মশার সংসার চলে
370,বাবু খেয়েছো বলার মানুষটা নেই বলে আজ আমি এতো রোগা
371,পাশের বাড়ির মেয়েটাকে ভালো লেগেছিল পরে জানতে পারলাম মেয়েটা ছুটির দিনেও কলেজে যায়
372,আজ আমি রোগা তাই জন্য মানুষ আমাকে নিয়ে উল্টোপাল্টা সন্দেহ করে
373,কেউ আমার মাকে বলে দিও আমি বিয়ে করবো
374,হাসতে হাসতে সিগারেট খাওয়া ছেলেটা একদিন কাশতে কাশতে মরে যাবে
375,কোনো এক রাতে তুমি আর আমি পাশাপাশি বসে সূর্য দেখবো
